media_id,band,container_tag,media_tag,slot,shape_policy,fit,mobile_profile,asset_w,asset_h,source,poster,mp4_fallback,loading,alt,title,autoplay,loop,muted,playsinline
deadgood-03,deadgood,div,video,,crop,contain,standard,579,504,https://freight.cargo.site/t/original/i/W3028244200907015798682605369145/dg-slides.mp4,https://freight.cargo.site/t/original/i/N3031232606872457007606104897337/23-dg-slides-poster.jpg,,,,,True,True,True,True
deadgood-04,deadgood,div,img,,crop,contain,standard,411.3,358,https://freight.cargo.site/w/822/q/85/i/R3028483060048393752708469274425/dg-image3-v2.jpg,,,lazy,,,False,False,False,False
deadgood-05,deadgood,div,img,,crop,contain,standard,543.5,358,https://freight.cargo.site/w/1088/q/85/i/K3028247312208658246830419130169/dg-cover.jpg,,,lazy,,,False,False,False,False
wtw-01,wtw,div,img,,artwork,contain,standard,746.7,504,https://freight.cargo.site/w/1494/q/85/i/C3028244178623348957641467017017/wtw-lanyard.png,,,lazy,,,False,False,False,False
wtw-02,wtw,div,video,,crop,contain,standard,765.2,765.2,https://freight.cargo.site/t/original/i/U3028243848518863758609040848697/wtw-wordmark.mp4,https://freight.cargo.site/t/original/i/L3031232634561019862244141872953/24-wtw-wordmark-poster.jpg,,,,,True,True,True,True
wtw-03,wtw,div,img,,crop,cover,standard,592.9,333.50625,https://freight.cargo.site/t/original/i/X3028243859623803690982190921529/wtw-image1.gif,,,lazy,,,False,False,False,False
wtw-04,wtw,div,video,,crop,contain,standard,388.2,388.2,https://freight.cargo.site/t/original/i/J3028243826290537149789031151417/wtw-grid-logo.mp4,https://freight.cargo.site/t/original/i/P3031232663448621081673299703609/25-wtw-grid-logo-poster.jpg,,,,,True,True,True,True
wtw-05,wtw,div,video,,crop,contain,standard,388.2,388.2,https://freight.cargo.site/t/original/i/K3028243512603654176358105921337/wtw-grid-image.mp4,https://freight.cargo.site/t/original/i/S3031232692022627651849395156793/26-wtw-grid-image-poster.jpg,,,,,True,True,True,True
wtw-06,wtw,div,img,,crop,contain,standard,579,504,https://freight.cargo.site/t/original/i/M3028243870784083855576469649209/wtw-image6.gif,,,lazy,,,False,False,False,False
wtw-07,wtw,div,video,,crop,contain,standard,896,504,https://freight.cargo.site/t/original/i/L3028243501517160988058665400121/wtw-grid-animation.mp4,https://freight.cargo.site/t/original/i/P3031232719434489345381788858169/27-wtw-grid-animation-poster.jpg,,,,,True,True,True,True
