page,kind,freight_id,filename,original_url,http_status,probe_method,content_type,byte_size,etag,last_modified,cache_control,accept_ranges,content_range,error_class
home,image,X3028243859623803690982190921529,wtw-image1.gif,https://freight.cargo.site/t/original/i/X3028243859623803690982190921529/wtw-image1.gif,200,HEAD,image/gif,3525361,"""6a5ea155-35caf1""","Mon, 20 Jul 2026 22:29:41 GMT",max-age=31536000,none,,
home,image,X3029359532558886444019799865145,eviive-sequence-6-retina.jpg,https://freight.cargo.site/t/original/i/X3029359532558886444019799865145/eviive-sequence-6-retina.jpg,200,HEAD,image/jpeg,228630,"""6a5ea156-37d16""","Mon, 20 Jul 2026 22:29:42 GMT",max-age=31536000,none,,
home,image,Y3029359532614226676240928519993,touchbaes-last-retina.jpg,https://freight.cargo.site/t/original/i/Y3029359532614226676240928519993/touchbaes-last-retina.jpg,200,HEAD,image/jpeg,1874190,"""6a5ea155-1c990e""","Mon, 20 Jul 2026 22:29:41 GMT",max-age=31536000,none,,
home,image,Y3031232205692666892570776352569,09-video-small-poster.jpg,https://freight.cargo.site/t/original/i/Y3031232205692666892570776352569/09-video-small-poster.jpg,200,HEAD,image/jpeg,153591,"""6a5ea157-257f7""","Mon, 20 Jul 2026 22:29:43 GMT",max-age=31536000,none,,
home,image,Y3031232291119538697919709886265,12-v3_Loop-Wrapped_Animated-illustration-cargo-small-h264-poster.jpg,https://freight.cargo.site/t/original/i/Y3031232291119538697919709886265/12-v3_Loop-Wrapped_Animated-illustration-cargo-small-h264-poster.jpg,200,HEAD,image/jpeg,119038,"""6a5ea157-1d0fe""","Mon, 20 Jul 2026 22:29:43 GMT",max-age=31536000,none,,
home,image,Y3031232375033777489224460187449,15-Montran_CSD_RS_EN-noaudio-poster.jpg,https://freight.cargo.site/t/original/i/Y3031232375033777489224460187449/15-Montran_CSD_RS_EN-noaudio-poster.jpg,200,HEAD,image/jpeg,63532,"""6a5ea157-f82c""","Mon, 20 Jul 2026 22:29:43 GMT",max-age=31536000,none,,
home,image,Z3028481505928652286752455178041,curate-image2-v2.jpg,https://freight.cargo.site/t/original/i/Z3028481505928652286752455178041/curate-image2-v2.jpg,200,HEAD,image/jpeg,57050,"""6a5ea156-deda""","Mon, 20 Jul 2026 22:29:42 GMT",max-age=31536000,none,,
home,pdf,P3028590574867085520722012452665,montran_sustainability-report_2025_v4-web.pdf,https://freight.cargo.site/t/original/i/P3028590574867085520722012452665/montran_sustainability-report_2025_v4-web.pdf,200,HEAD,application/pdf,13634937,"""6a5e3007-d00d79""","Mon, 20 Jul 2026 14:26:15 GMT",max-age=31536000,none,,
home,video,B3028308528632757311589224855353,Final_Navy_EVIIVE-Logo-Animation_Jul-2026-web-hq-1800-h264.mp4,https://freight.cargo.site/t/original/i/B3028308528632757311589224855353/Final_Navy_EVIIVE-Logo-Animation_Jul-2026-web-hq-1800-h264.mp4,200,HEAD,video/mp4,305404,"""6a519b07-4a8fc""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,B3028308558313568526187893405497,Freetothink_motionthecity_260303-upscaled-4x-retina-h264.mp4,https://freight.cargo.site/t/original/i/B3028308558313568526187893405497/Freetothink_motionthecity_260303-upscaled-4x-retina-h264.mp4,200,HEAD,video/mp4,666666,"""6a519b07-a2c2a""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,C3022812573698134943474161071929,8bit-girls-final-alpha-1080.webm,https://freight.cargo.site/t/original/i/C3022812573698134943474161071929/8bit-girls-final-alpha-1080.webm,200,HEAD,video/webm,940031,"""6a4d3136-e57ff""","Tue, 07 Jul 2026 17:02:46 GMT",max-age=31536000,none,,
home,video,C3026651793472485332597365847865,montran-icon-animation.mp4,https://freight.cargo.site/t/original/i/C3026651793472485332597365847865/montran-icon-animation.mp4,200,HEAD,video/mp4,712303,"""6a503bf5-ade6f""","Fri, 10 Jul 2026 00:25:25 GMT",max-age=31536000,none,,
home,video,E3026651808137646871196459382585,Montran_CSD_RS_EN-noaudio.mp4,https://freight.cargo.site/t/original/i/E3026651808137646871196459382585/Montran_CSD_RS_EN-noaudio.mp4,200,HEAD,video/mp4,2266258,"""6a503bf5-229492""","Fri, 10 Jul 2026 00:25:25 GMT",max-age=31536000,none,,
home,video,E3028308676907686176066600744761,anyday-logo-slideshow-v3-h264.mp4,https://freight.cargo.site/t/original/i/E3028308676907686176066600744761/anyday-logo-slideshow-v3-h264.mp4,200,HEAD,video/mp4,1250166,"""6a519b07-131376""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,E3028483072094117632840806479673,mandy-hf-alpha-v2.mp4,https://freight.cargo.site/t/original/i/E3028483072094117632840806479673/mandy-hf-alpha-v2.mp4,200,HEAD,video/mp4,6443933,"""6a5e23c6-62539d""","Mon, 20 Jul 2026 13:33:58 GMT",max-age=31536000,none,,
home,video,F3022813868419761244926460344121,6x-images-for-MMS_EVIIVE_Image-5-web-smooth-hq-white-bg.mp4,https://freight.cargo.site/t/original/i/F3022813868419761244926460344121/6x-images-for-MMS_EVIIVE_Image-5-web-smooth-hq-white-bg.mp4,200,HEAD,video/mp4,860283,"""6a4d2460-d207b""","Tue, 07 Jul 2026 16:08:00 GMT",max-age=31536000,none,,
home,video,G3028308706570050646591559743289,anyday-hotel-report-h264.mp4,https://freight.cargo.site/t/original/i/G3028308706570050646591559743289/anyday-hotel-report-h264.mp4,200,HEAD,video/mp4,567458,"""6a519b07-8a8a2""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,I3028308721419679625927748794169,anyday-scroller-h264.mp4,https://freight.cargo.site/t/original/i/I3028308721419679625927748794169/anyday-scroller-h264.mp4,200,HEAD,video/mp4,3105144,"""6a519b07-2f6178""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,J3028243826290537149789031151417,wtw-grid-logo.mp4,https://freight.cargo.site/t/original/i/J3028243826290537149789031151417/wtw-grid-logo.mp4,200,HEAD,video/mp4,674627,"""6a518e83-a4b43""","Sat, 11 Jul 2026 00:29:55 GMT",max-age=31536000,none,,
home,video,K3022811110465501528685107787577,video-small.mp4,https://freight.cargo.site/t/original/i/K3022811110465501528685107787577/video-small.mp4,200,HEAD,video/mp4,894312,"""6a4d0ed6-da568""","Tue, 07 Jul 2026 14:36:06 GMT",max-age=31536000,none,,
home,video,K3028243512603654176358105921337,wtw-grid-image.mp4,https://freight.cargo.site/t/original/i/K3028243512603654176358105921337/wtw-grid-image.mp4,200,HEAD,video/mp4,661288,"""6a518e85-a1728""","Sat, 11 Jul 2026 00:29:57 GMT",max-age=31536000,none,,
home,video,K3028308647282215193689060849465,v3_Loop-Wrapped_Animated-illustration-cargo-small-h264.mp4,https://freight.cargo.site/t/original/i/K3028308647282215193689060849465/v3_Loop-Wrapped_Animated-illustration-cargo-small-h264.mp4,200,HEAD,video/mp4,1714764,"""6a519b07-1a2a4c""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
home,video,K3028483048076456848870970275641,8bit-girls-alpha-v2.mp4,https://freight.cargo.site/t/original/i/K3028483048076456848870970275641/8bit-girls-alpha-v2.mp4,200,HEAD,video/mp4,2078186,"""6a5e23c5-1fb5ea""","Mon, 20 Jul 2026 13:33:57 GMT",max-age=31536000,none,,
home,video,L3028243501517160988058665400121,wtw-grid-animation.mp4,https://freight.cargo.site/t/original/i/L3028243501517160988058665400121/wtw-grid-animation.mp4,200,HEAD,video/mp4,275779,"""6a5e22c9-43543""","Mon, 20 Jul 2026 13:29:45 GMT",max-age=31536000,none,,
home,video,L3028308691757315155402789795641,anyday-money-moments-h264.mp4,https://freight.cargo.site/t/original/i/L3028308691757315155402789795641/anyday-money-moments-h264.mp4,200,HEAD,video/mp4,585361,"""6a519b07-8ee91""","Sat, 11 Jul 2026 01:23:19 GMT",max-age=31536000,none,,
